"","player","AllStarCount"
"1","A.C. Green",1
"2","Adrian Dantley",6
"3","Adrian Smith",1
"4","Al Horford",5
"5","Alex English",8
"6","Alex Groza",1
"7","Allan Houston",2
"8","Allen Iverson",11
"9","Alonzo Mourning",7
"10","Alvan Adams",1
"11","Alvin Robertson",4
"12","Amar'e Stoudemire",6
"13","Andre Drummond",2
"14","Andre Iguodala",1
"15","Andrei Kirilenko",1
"16","Andrew Bynum",1
"17","Andrew Toney",2
"18","Andrew Wiggins",1
"19","Andy Phillip",5
"20","Anfernee Hardaway",4
"21","Antawn Jamison",2
"22","Anthony Davis",9
"23","Anthony Edwards",2
"24","Anthony Mason",1
"25","Antoine Walker",3
"26","Antonio Davis",1
"27","Antonio McDyess",1
"28","Archie Clark",2
"29","Arnie Risen",4
"30","Arthur Becker",2
"31","Artis Gilmore",11
"32","Austin Carr",1
"33","B.J. Armstrong",1
"34","Bailey Howell",6
"35","Bam Adebayo",3
"36","Baron Davis",2
"37","Ben Simmons",3
"38","Ben Wallace",4
"39","Ben Warley",1
"40","Bernard King",4
"41","Bill Bradley",1
"42","Bill Bridges",3
"43","Bill Cartwright",1
"44","Bill Gabor",1
"45","Bill Laimbeer",4
"46","Bill Melchionni",3
"47","Bill Russell",12
"48","Bill Sharman",8
"49","Bill Walton",2
"50","Billy Cunningham",5
"51","Billy Knight",3
"52","Billy Paultz",3
"53","Blake Griffin",6
"54","Bob Boozer",1
"55","Bob Cousy",13
"56","Bob Dandridge",4
"57","Bob Davies",4
"58","Bob Harrison",1
"59","Bob Kauffman",3
"60","Bob Lanier",8
"61","Bob Love",3
"62","Bob McAdoo",5
"63","Bob Netolicky",4
"64","Bob Pettit",11
"65","Bob Rule",1
"66","Bob Verga",1
"67","Bobby Jones",5
"68","Bobby Wanzer",5
"69","Brad Daugherty",5
"70","Brad Miller",2
"71","Bradley Beal",3
"72","Brandon Ingram",1
"73","Brandon Roy",3
"74","Brian Taylor",2
"75","Brian Winters",2
"76","Brook Lopez",1
"77","Buck Williams",3
"78","Butch Beard",1
"79","Byron Beck",2
"80","Caldwell Jones",1
"81","Calvin Murphy",1
"82","Calvin Natt",1
"83","Campy Russell",1
"84","Carl Braun",5
"85","Carlos Boozer",2
"86","Carmelo Anthony",10
"87","Caron Butler",2
"88","Cazzie Russell",1
"89","Cedric Ceballos",1
"90","Charles Barkley",11
"91","Charles Oakley",1
"92","Charlie Scott",5
"93","Charlie Williams",2
"94","Chauncey Billups",5
"95","Chet Walker",7
"96","Chico Vaughn",1
"97","Chris Bosh",11
"98","Chris Gatling",1
"99","Chris Kaman",1
"100","Chris Mullin",5
"101","Chris Paul",12
"102","Chris Webber",5
"103","Christian Laettner",1
"104","Chuck Noble",1
"105","Chuck Williams",2
"106","Cincinnatus Powell",2
"107","Claude Terry",1
"108","Cliff Hagan",6
"109","Clifford Robinson",1
"110","Clyde Drexler",10
"111","Clyde Lee",1
"112","Clyde Lovellette",4
"113","Connie Hawkins",5
"114","Curtis Rowe",1
"115","D'Angelo Russell",1
"116","Dale Davis",1
"117","Dale Ellis",1
"118","Damian Lillard",8
"119","Dan Issel",7
"120","Dan Majerle",3
"121","Dan Roundfield",3
"122","Dana Barros",1
"123","Danny Ainge",1
"124","Danny Granger",1
"125","Danny Manning",2
"126","Darel Carrier",3
"127","Darius Garland",1
"128","Darrall Imhoff",1
"129","Dave Bing",7
"130","Dave Cowens",8
"131","Dave DeBusschere",8
"132","Dave Twardzik",1
"133","David Lee",2
"134","David Robinson",10
"135","David Thompson",5
"136","David West",2
"137","De'Aaron Fox",1
"138","DeAndre Jordan",1
"139","Dejounte Murray",1
"140","DeMar DeRozan",6
"141","DeMarcus Cousins",4
"142","Dennis Johnson",5
"143","Dennis Rodman",2
"144","Deron Williams",3
"145","Derrick Coleman",1
"146","Derrick Rose",3
"147","Detlef Schrempf",3
"148","Devin Booker",4
"149","Devin Harris",1
"150","Dewitt Menyard",1
"151","Dick Barnett",1
"152","Dick Garmaker",4
"153","Dick McGuire",7
"154","Dick Van Arsdale",3
"155","Dike Eddleman",2
"156","Dikembe Mutombo",8
"157","Dirk Nowitzki",14
"158","Doc Rivers",1
"159","Dolph Schayes",12
"160","Domantas Sabonis",3
"161","Dominique Wilkins",9
"162","Don Barksdale",1
"163","Don Buse",2
"164","Don Kojis",2
"165","Don Ohl",5
"166","Don Sunderlage",1
"167","Donnie Freeman",5
"168","Donovan Mitchell",5
"169","Doug Collins",4
"170","Doug Moe",3
"171","Draymond Green",4
"172","Dwight Howard",8
"173","Dwyane Wade",13
"174","Earl Monroe",4
"175","Ed Macauley",7
"176","Eddie Johnson",2
"177","Eddie Jones",3
"178","Eddie Miles",1
"179","Elgin Baylor",11
"180","Elton Brand",2
"181","Elvin Hayes",12
"182","Fat Lever",2
"183","Flynn Robinson",1
"184","Frank Selvy",2
"185","Frankie Brian",2
"186","Fred Brown",1
"187","Fred Schaus",1
"188","Fred Scolari",2
"189","Fred VanVleet",1
"190","Freddie Lewis",3
"191","Gail Goodrich",5
"192","Gary Payton",9
"193","Gene Moore",1
"194","Gene Shue",5
"195","Geoff Petrie",2
"196","George Carter",1
"197","George Gervin",12
"198","George McGinnis",6
"199","George Mikan",4
"200","George Thompson",3
"201","George Yardley",6
"202","Gerald Govan",1
"203","Gerald Wallace",1
"204","Giannis Antetokounmpo",8
"205","Gilbert Arenas",3
"206","Glen Combs",3
"207","Glen Rice",3
"208","Glenn Robinson",2
"209","Goose Ligon",1
"210","Goran Dragić",1
"211","Gordon Hayward",1
"212","Grant Hill",7
"213","Gus Gerard",1
"214","Gus Johnson",5
"215","Gus Williams",2
"216","Guy Rodgers",4
"217","Hakeem Olajuwon",12
"218","Hal Greer",10
"219","Harry Gallatin",7
"220","Hersey Hawkins",1
"221","Horace Grant",1
"222","Hot Rod Hundley",2
"223","Isaiah Thomas",2
"224","Isiah Thomas",12
"225","Ja Morant",2
"226","Jack Coleman",1
"227","Jack George",2
"228","Jack Marin",2
"229","Jack Molinas",1
"230","Jack Sikma",7
"231","Jack Twyman",6
"232","Jalen Brunson",1
"233","Jamaal Magloire",1
"234","Jamaal Wilkes",3
"235","Jamal Mashburn",1
"236","Jameer Nelson",1
"237","James Donaldson",1
"238","James Harden",10
"239","James Silas",2
"240","James Worthy",7
"241","Jaren Jackson Jr.",1
"242","Jarrett Allen",1
"243","Jason Kidd",10
"244","Jaylen Brown",3
"245","Jayson Tatum",5
"246","Jayson Williams",1
"247","Jeff Hornacek",1
"248","Jeff Malone",2
"249","Jeff Mullins",3
"250","Jeff Ruland",2
"251","Jeff Teague",1
"252","Jermaine O'Neal",6
"253","Jerry Lucas",7
"254","Jerry Sloan",2
"255","Jerry Stackhouse",2
"256","Jerry West",14
"257","Jim Eakins",1
"258","Jim King",1
"259","Jim McDaniels",1
"260","Jim Paxson",2
"261","Jim Pollard",4
"262","Jim Price",1
"263","Jimmy Butler",6
"264","Jimmy Foster",1
"265","Jimmy Jones",6
"266","Jimmy Walker",2
"267","Jo Jo White",7
"268","Joakim Noah",2
"269","Joe Barry Carroll",1
"270","Joe Caldwell",4
"271","Joe Dumars",6
"272","Joe Fulks",2
"273","Joe Johnson",7
"274","Joel Embiid",7
"275","John Beasley",3
"276","John Block",1
"277","John Brisker",2
"278","John Drew",2
"279","John Havlicek",13
"280","John Johnson",2
"281","John Starks",1
"282","John Stockton",10
"283","John Wall",5
"284","Johnny Green",4
"285","Jon McGlocklin",1
"286","Josh Howard",1
"287","Jrue Holiday",2
"288","Julius Erving",16
"289","Julius Keye",1
"290","Julius Randle",3
"291","Juwan Howard",1
"292","Kareem Abdul-Jabbar",19
"293","Karl-Anthony Towns",4
"294","Karl Malone",14
"295","Kawhi Leonard",6
"296","Kelly Tripucka",2
"297","Kemba Walker",4
"298","Kenny Anderson",1
"299","Kenny Sears",2
"300","Kenyon Martin",1
"301","Kermit Washington",1
"302","Kevin Duckworth",2
"303","Kevin Durant",14
"304","Kevin Garnett",15
"305","Kevin Johnson",3
"306","Kevin Love",5
"307","Kevin McHale",7
"308","Kevin Willis",1
"309","Khris Middleton",3
"310","Kiki Vandeweghe",2
"311","Klay Thompson",5
"312","Kobe Bryant",18
"313","Kristaps Porziņģis",1
"314","Kyle Korver",1
"315","Kyle Lowry",6
"316","Kyrie Irving",8
"317","LaMarcus Aldridge",7
"318","LaMelo Ball",1
"319","Larry Bird",12
"320","Larry Brown",3
"321","Larry Bunce",1
"322","Larry Costello",6
"323","Larry Foust",8
"324","Larry Johnson",2
"325","Larry Jones",4
"326","Larry Kenon",5
"327","Larry Nance",3
"328","Latrell Sprewell",4
"329","Lauri Markkanen",1
"330","LeBron James",20
"331","Lee Shaffer",1
"332","Len Chappell",1
"333","Lenny Wilkens",9
"334","Leo Barnhorst",2
"335","Les Hunter",2
"336","Levern Tart",2
"337","Lionel Hollins",1
"338","Lonnie Shelton",1
"339","Lou Hudson",6
"340","Louie Dampier",7
"341","Luka Dončić",5
"342","Luke Jackson",1
"343","Luol Deng",2
"344","Mack Calvin",5
"345","Magic Johnson",12
"346","Manu Ginóbili",2
"347","Marc Gasol",3
"348","Mark Aguirre",3
"349","Mark Eaton",1
"350","Mark Jackson",1
"351","Mark Price",4
"352","Marques Johnson",5
"353","Marvin Barnes",2
"354","Maurice Cheeks",4
"355","Maurice Lucas",5
"356","Maurice Stokes",3
"357","Max Zaslofsky",1
"358","Mehmet Okur",1
"359","Mel Daniels",7
"360","Mel Hutchins",4
"361","Mervin Jackson",1
"362","Metta World Peace",1
"363","Michael Adams",1
"364","Michael Finley",2
"365","Michael Jordan",14
"366","Michael Redd",1
"367","Micheal Ray Richardson",4
"368","Mike Conley",1
"369","Mike Green",1
"370","Mike Lewis",2
"371","Mike Mitchell",1
"372","Mitch Richmond",6
"373","Mo Williams",1
"374","Monte Towe",1
"375","Mookie Blaylock",1
"376","Moses Malone",13
"377","Nat Clifton",1
"378","Nate Thurmond",7
"379","Neil Johnson",1
"380","Neil Johnston",6
"381","Nick Van Exel",1
"382","Nikola Jokić",6
"383","Nikola Vučević",2
"384","Norm Nixon",2
"385","Norm Van Lier",3
"386","Oscar Robertson",12
"387","Otis Birdsong",4
"388","Otis Thorpe",1
"389","Paolo Banchero",1
"390","Pascal Siakam",2
"391","Patrick Ewing",11
"392","Pau Gasol",6
"393","Paul Arizin",10
"394","Paul George",9
"395","Paul Millsap",4
"396","Paul Pierce",10
"397","Paul Seymour",3
"398","Paul Silas",2
"399","Paul Walther",1
"400","Paul Westphal",5
"401","Peja Stojaković",3
"402","Pete Maravich",5
"403","Phil Chenier",3
"404","Phil Smith",2
"405","Rajon Rondo",4
"406","Ralph Beard",1
"407","Ralph Sampson",4
"408","Ralph Simpson",5
"409","Randolph Mahaffey",1
"410","Randy Smith",2
"411","Rashard Lewis",2
"412","Rasheed Wallace",4
"413","Ray Allen",10
"414","Ray Felix",1
"415","Red Kerr",3
"416","Red Robbins",4
"417","Red Rocha",2
"418","Reggie Lewis",1
"419","Reggie Miller",5
"420","Reggie Theus",2
"421","Rich Jones",2
"422","Richard Hamilton",3
"423","Richie Guerin",6
"424","Richie Regan",1
"425","Rick Barry",12
"426","Rickey Green",1
"427","Ricky Pierce",1
"428","Rik Smits",1
"429","Robert Parish",9
"430","Roger Brown",5
"431","Rolando Blackman",4
"432","Ron Boone",4
"433","Roy Hibbert",2
"434","Rudy Gobert",3
"435","Rudy LaRusso",5
"436","Rudy Tomjanovich",5
"437","Russell Westbrook",9
"438","Sam Cassell",1
"439","Sam Jones",5
"440","Sam Lacey",1
"441","Scott Wedman",2
"442","Scottie Barnes",1
"443","Scottie Pippen",7
"444","Sean Elliott",2
"445","Shai Gilgeous-Alexander",2
"446","Shaquille O'Neal",15
"447","Shareef Abdur-Rahim",1
"448","Shawn Kemp",6
"449","Shawn Marion",4
"450","Sidney Moncrief",5
"451","Sidney Wicks",4
"452","Skip Thoren",1
"453","Slater Martin",7
"454","Sleepy Floyd",1
"455","Spencer Haywood",5
"456","Stephen Curry",10
"457","Stephon Marbury",2
"458","Steve Francis",3
"459","Steve Johnson",1
"460","Steve Jones",3
"461","Steve Mix",1
"462","Steve Nash",8
"463","Steve Smith",1
"464","Stew Johnson",3
"465","Swen Nater",2
"466","Ted McClain",1
"467","Terrell Brandon",2
"468","Terry Cummings",2
"469","Terry Dischinger",3
"470","Terry Porter",2
"471","Theo Ratliff",1
"472","Tim Duncan",15
"473","Tim Hardaway",5
"474","Tiny Archibald",6
"475","Tom Chambers",4
"476","Tom Gola",5
"477","Tom Gugliotta",1
"478","Tom Heinsohn",6
"479","Tom Meschery",1
"480","Tom Van Arsdale",3
"481","Tony Jackson",1
"482","Tony Parker",6
"483","Tracy McGrady",7
"484","Trae Young",3
"485","Trooper Washington",1
"486","Truck Robinson",2
"487","Tyrese Haliburton",2
"488","Tyrese Maxey",1
"489","Tyrone Hill",1
"490","Tyson Chandler",1
"491","Vern Mikkelsen",6
"492","Victor Oladipo",2
"493","Vin Baker",4
"494","Vince Boryla",1
"495","Vince Carter",8
"496","Vlade Divac",1
"497","Wally Szczerbiak",1
"498","Walt Bellamy",4
"499","Walt Frazier",7
"500","Walt Hazzard",1
"501","Walter Davis",6
"502","Walter Dukes",2
"503","Walter Simon",1
"504","Warren Davis",2
"505","Warren Jabali",4
"506","Wayne Embry",5
"507","Wayne Hightower",1
"508","Wendell Ladner",2
"509","Wes Unseld",5
"510","Wil Jones",1
"511","Willie Naulls",4
"512","Willie Somerset",1
"513","Willie Wise",3
"514","Willis Reed",7
"515","Wilt Chamberlain",13
"516","Woody Sauldsberry",1
"517","World B. Free",1
"518","Xavier McDaniel",1
"519","Yao Ming",8
"520","Zach LaVine",2
"521","Zach Randolph",2
"522","Zelmo Beaty",5
"523","Zion Williamson",2
"524","Zydrunas Ilgauskas",2
